"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10","dataValue 11","dataValue 12"
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,46,"CAF","Central African Rep.","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,46,"CAF","Central African Rep.","No",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,47,"CAN","Canada","No",2012,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,47,"CAN","Canada","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,47,"CAN","Canada","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,47,"CAN","Canada","No",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,47,"CAN","Canada","No",2016,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,48,"KHM","Cambodia","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,48,"KHM","Cambodia","Yes",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,48,"KHM","Cambodia","Yes",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,48,"KHM","Cambodia","No",2017,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,48,"KHM","Cambodia","No",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,48,"KHM","Cambodia","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,48,"KHM","Cambodia","No",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,49,"CHL","Chile","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,49,"CHL","Chile","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,49,"CHL","Chile","No",2015,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,49,"CHL","Chile","No",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,49,"CHL","Chile","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,49,"CHL","Chile","No",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,50,"CHN","China","Yes",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,50,"CHN","China","Yes",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,50,"CHN","China","No",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,50,"CHN","China","No",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,50,"CHN","China","Yes",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,53,"COL","Colombia","No",2012,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,53,"COL","Colombia","No",2013,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,53,"COL","Colombia","No",2014,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,53,"COL","Colombia","Yes",2018,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,53,"COL","Colombia","Yes",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,53,"COL","Colombia","Yes",2020,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,54,"LKA","Sri Lanka","Yes",2019,"","","",,,,,,,,,,,,
12603,"trResponsibilitiesToEApplications","ICT Regulator responsible for e-Applications",,,54,"LKA","Sri Lanka","Yes",2020,"","","",,,,,,,,,,,,
