"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue 1","dataValue 2","dataYear","dataNote","dataSource","seriesDescription","dataValue 3","dataValue 4","dataValue"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,29,"BDI","Burundi",,,2015,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,29,"BDI","Burundi",,,2019,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,29,"BDI","Burundi",,,2020,"","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,29,"BDI","Burundi","Fibre","Satellite",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,29,"BDI","Burundi","Fibre","Satellite",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,29,"BDI","Burundi","Fibre","Satellite",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,29,"BDI","Burundi","Fibre","Satellite",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,30,"BEL","Belgium",,,2024,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin",,,2015,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin",,,2016,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin",,,2017,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin",,,2019,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin","Fibre","Satellite",2020,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin","Fibre","Satellite",2021,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin","Fibre","Satellite",2022,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin","Fibre","Submarine cable",2023,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,31,"BEN","Benin","Fibre","Satellite",2024,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,33,"BFA","Burkina Faso","Fibre","Satellite",2015,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,33,"BFA","Burkina Faso","Satellite","Fibre",2019,"(Togo, Ghana, CI, Mauritanie via Mali)","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,33,"BFA","Burkina Faso","Satellite","Fibre",2020,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,33,"BFA","Burkina Faso","Fibre","Satellite",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,33,"BFA","Burkina Faso","Fibre","Satellite",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,33,"BFA","Burkina Faso",,,2023,"(Ghana, Cote d'Ivoire, Togo, Bénin)","","International landing points",,,"Fibre"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,34,"BGD","Bangladesh","Satellite","Submarine cable",2022,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,35,"BHR","Bahrain","Satellite","Submarine cable",2021,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,35,"BHR","Bahrain","Submarine cable","Satellite",2022,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,35,"BHR","Bahrain","Fibre","Submarine cable",2023,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,35,"BHR","Bahrain","Fibre","Satellite",2024,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,37,"BLR","Belarus",,,2015,"","","International landing points",,,"Fibre"
