"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3"
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2020,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","Yes",2021,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","No",2022,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,27,"BRA","Brazil","No",2024,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","Yes",2010,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","Yes",2011,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","Yes",2012,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","Yes",2013,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","No",2016,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","No",2018,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","No",2019,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","No",2020,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","No",2021,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","No",2022,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,28,"BHS","Bahamas","No",2024,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","No",2011,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","Yes",2012,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","No",2016,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","No",2018,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","No",2019,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","No",2020,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","No",2021,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,29,"BDI","Burundi","No",2022,"","","",,,
11729,"trPS_MaxForeignNone","Restriction to foreign participation or ownership in the ICT sector",,,30,"BEL","Belgium","Yes",2010,"","","",,,
