"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10"
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2017,"","","","Other","Universal service funds","Direct subsidy from government",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2018,"","","","Universal service funds","Other","Direct subsidy from government",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2019,"","","","Other","Direct subsidy from government","Universal service funds",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2020,"","","","Other","Direct subsidy from government","Universal service funds",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2021,"","","","Universal service funds","Other","Direct subsidy from government",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2022,"","","","Direct subsidy from government","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,23,"AUS","Australia",,2024,"","","","Cross-subsidy between own services (internal financing)","Direct subsidy from government","Other",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria",,2000,"","","","Other","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria",,2001,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria",,2002,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria",,2003,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2004,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2006,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2007,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2008,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2009,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2012,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2013,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2014,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2015,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,24,"AUT","Austria","Other",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,25,"AZE","Azerbaijan",,2000,"","","","Cross-subsidy between own services (internal financing)","Direct subsidy from government",,,,,,,,
