"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5"
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,118,"ISL","Iceland","Not required",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,119,"ISR","Israel",,2024,"","","","Informal collaboration","Joint committee or initiative","Not required",,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,125,"KEN","Kenya","Joint committee or initiative",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,130,"KWT","Kuwait","Joint committee or initiative",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,130,"KWT","Kuwait","Informal collaboration",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,136,"LIE","Liechtenstein","Informal collaboration",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,137,"LSO","Lesotho",,2024,"","","","Not required","Required by law",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,140,"LVA","Latvia","Not required",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,142,"MUS","Mauritius","Informal collaboration",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,147,"MEX","Mexico","Required by law",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,147,"MEX","Mexico",,2024,"","","","Not required","Required by law",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,152,"MNG","Mongolia","Not required",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,152,"MNG","Mongolia","Informal collaboration",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,155,"MAR","Morocco",,2022,"","","","Joint committee or initiative","Informal collaboration",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,155,"MAR","Morocco",,2024,"","","","Informal collaboration","Joint committee or initiative","Required by law",,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,161,"MWI","Malawi","Required by law",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,169,"NAM","Namibia",,2024,"","","","Informal collaboration","Not required",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,170,"NOR","Norway","Not required",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,170,"NOR","Norway","Not required",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,173,"NZL","New Zealand","Not required",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,176,"OMN","Oman","Joint committee or initiative",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,176,"OMN","Oman",,2024,"","","","Informal collaboration","Joint committee or initiative","Not required",,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,182,"PAK","Pakistan",,2022,"","","","Please provide online references","Required by law",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,182,"PAK","Pakistan","Required by law",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,189,"PAN","Panama",,2024,"","","","Required by law","Not required",,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,191,"PRT","Portugal","Informal collaboration",2024,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,196,"QAT","Qatar","Informal collaboration",2022,"","","",,,,,
34527,"trCollaborationMinistries_Health","Collaboration between the ICT ministry and Ministry of health",,,196,"QAT","Qatar","Informal collaboration",2024,"","","",,,,,
