seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,dataValue 1,dataValue 2,dataValue 3,dataValue 4,dataValue 5,dataValue 6,dataValue 7,dataValue 8,dataValue 9,dataValue 10,dataValue 11,source_file,dataValue 12,dataValue 13,dataValue 14
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,250,VNM,Viet Nam,,2015,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,250,VNM,Viet Nam,,2018,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,250,VNM,Viet Nam,,2019,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,250,VNM,Viet Nam,,2020,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3945,trQOS_MonitoringRequired,Quality of service monitoring required,,,250,VNM,Viet Nam,,2021,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,34,BGD,Bangladesh,,2012,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,34,BGD,Bangladesh,,2013,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,34,BGD,Bangladesh,,2015,,,,Mobile telephony,Fixed broadband internet access,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,34,BGD,Bangladesh,,2018,,,,All regulated services,Mobile telephony,Fixed broadband internet access,Fixed telephony,Fixed wireless,Telephony interconnection,Internet interconnection,Leased lines,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,34,BGD,Bangladesh,,2020,,,,All regulated services,Mobile telephony,Fixed telephony,Fixed wireless,Fixed broadband internet access,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,34,BGD,Bangladesh,,2021,,,,All regulated services,Fixed wireless,Fixed telephony,Fixed broadband internet access,Mobile telephony,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,34,BGD,Bangladesh,,2022,,,,All regulated services,Fixed broadband internet access,Mobile telephony,Fixed telephony,Fixed wireless,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2006,,,,Leased lines,Fixed telephony,Dial-up internet access,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2007,,,,Pay phones,Leased lines,Dial-up internet access,Fixed telephony,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2009,,,,Dial-up internet access,Fixed telephony,Leased lines,Pay phones,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2015,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2017,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2018,,,,,,,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2019,,,,Mobile telephony,Fixed broadband internet access,Fixed wireless,Mobile broadband internet access,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,42,MMR,Myanmar,,2022,,,,Mobile broadband internet access,Fixed broadband internet access,Mobile telephony,,,,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2006,,,,Fixed broadband internet access,Dial-up internet access,Mobile telephony,Fixed wireless,Fixed telephony,Pay phones,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
3948,trQOS_MonitoringRequired_Yes_Services,Services subject to QoS monitoring,,,54,LKA,Sri Lanka,,2007,,,,Pay phones,Fixed wireless,Mobile telephony,Fixed telephony,Fixed broadband internet access,Dial-up internet access,,,,,,quality-of-service-qo-s-regulatory-framework_1773180185168.csv,,,
